"year"	"mfr"	"nameplate"	"hp"	"torque"	"mpg"	"fuel"	"curbwt"	"d_truck"	"d_super"	"d_turbo"	"d_diesel"	"d_manual"	"outlier"	"accel"	"lmpg"	"lcurbwt"	"lhp"	"ltorque"	"lhp2"	"lcurbwt2"	"ltorque2"	"lcurbwt_lhp"	"lcurbwt_ltorque"	"lhp_ltorque"	"base"	"rgasp"	"cafe_car"	"cafe_tr"	"time_d_manual"
"19"	1998	"HONDA"	"CIVIC"	106	140	45.5999984741211	"G"	2412	0	0	0	0	1	0	10.8932342529297	3.81990766525269	7.78821134567261	4.66343927383423	4.94164228439331	21.7476654052734	60.6562347412109	24.419828414917	36.3198509216309	38.4865531921387	23.0450477600098	1	0	0	0	19
"20"	1999	"HONDA"	"CIVIC"	106	140	39.7000007629395	"G"	2359	0	0	0	0	1	0	10.7072658538818	3.68135118484497	7.76599311828613	4.66343927383423	4.94164228439331	21.7476654052734	60.3106498718262	24.419828414917	36.216236114502	38.3767585754395	23.0450477600098	1	0	0	0	20
"21"	2002	"HONDA"	"CIVIC"	127	155	41.7999992370605	"G"	2564	0	0	0	0	1	0	9.9286470413208	3.73289632797241	7.84932374954224	4.84418725967407	5.0434250831604	23.4661502838135	61.6118850708008	25.4361362457275	38.0235939025879	39.587474822998	24.4312953948975	1	0	0	0	23
"22"	2003	"HONDA"	"CIVIC"	127	155	40.5	"G"	2601	0	0	0	0	1	0	10.0395069122314	3.70130205154419	7.86365127563477	4.84418725967407	5.0434250831604	23.4661502838135	61.8370132446289	25.4361362457275	38.0929985046387	39.6597366333008	24.4312953948975	1	0	0	0	24
"23"	2004	"HONDA"	"CIVIC"	115	149	40.0999984741211	"G"	2449	0	0	0	0	1	0	10.3478937149048	3.69137620925903	7.8034348487854	4.74493217468262	5.00394630432129	22.5143814086914	60.8935966491699	25.039478302002	37.0267677307129	39.0479698181152	23.7433853149414	1	0	0	0	25
"24"	2005	"HONDA"	"CIVIC"	115	149	40.0999984741211	"G"	2449	0	0	0	0	1	0	10.3478937149048	3.69137620925903	7.8034348487854	4.74493217468262	5.00394630432129	22.5143814086914	60.8935966491699	25.039478302002	37.0267677307129	39.0479698181152	23.7433853149414	1	0	0	0	26
"25"	2006	"HONDA"	"CIVIC"	140	174	39.7000007629395	"G"	2749	0	0	0	0	0	0	9.80093383789062	3.68135118484497	7.91899251937866	4.94164228439331	5.15905523300171	24.419828414917	62.7104415893555	26.6158504486084	39.1328277587891	40.8545188903809	25.4942054748535	1	0	0	0	0
"26"	1980	"HONDA"	"ACCORD"	72	127.5	28.2000007629395	"G"	2239	0	0	0	0	1	0	13.8766841888428	3.33932209014893	7.71378469467163	4.27666616439819	4.84811639785767	18.2898731231689	59.5024757385254	23.5042324066162	32.9892807006836	37.3973274230957	20.7337760925293	1	0	0	0	1
"27"	1981	"HONDA"	"ACCORD"	75	126.5	30.1000003814697	"G"	2249	0	0	0	0	1	0	13.4910526275635	3.40452527999878	7.71824073791504	4.31748819351196	4.84024238586426	18.6407051086426	59.5712394714355	23.4279460906982	33.323413848877	37.358154296875	20.8976898193359	1	0	0	0	2
"28"	1982	"HONDA"	"ACCORD"	75	130.199996948242	32.9000015258789	"G"	2169	0	0	0	0	1	0	13.1176223754883	3.49347281455994	7.6820216178894	4.31748819351196	4.86907148361206	18.6407051086426	59.0134544372559	23.707857131958	33.1670379638672	37.4043121337891	21.022159576416	1	0	0	0	3
"29"	1983	"HONDA"	"ACCORD"	75	130.199996948242	36.5	"G"	2179	0	0	0	0	1	0	13.1644687652588	3.59731221199036	7.68662118911743	4.31748819351196	4.86907148361206	18.6407051086426	59.0841445922852	23.707857131958	33.186897277832	37.4267082214355	21.022159576416	1	0	0	0	4
"30"	1984	"HONDA"	"ACCORD"	86	134.199996948242	35.7999992370605	"G"	2271	0	0	0	0	1	0	12.2252702713013	3.57794785499573	7.72797536849976	4.45434713363647	4.89933109283447	19.8412075042725	59.7216033935547	24.0034446716309	34.4230842590332	37.8619117736816	21.8233222961426	1	0	0	0	5
"31"	1985	"HONDA"	"ACCORD"	86	134.199996948242	33.0999984741211	"G"	2271	0	0	0	0	1	0	12.2252702713013	3.49953317642212	7.72797536849976	4.45434713363647	4.89933109283447	19.8412075042725	59.7216033935547	24.0034446716309	34.4230842590332	37.8619117736816	21.8233222961426	1	0	0	0	6
"32"	1986	"HONDA"	"ACCORD"	98	147.800003051758	34.5	"G"	2568	0	0	0	0	1	0	12.1524095535278	3.54095935821533	7.8508825302124	4.58496761322021	4.99586009979248	21.0219287872314	61.6363563537598	24.9586181640625	35.9960403442383	39.2219123840332	22.9058570861816	1	0	0	0	7
"33"	1987	"HONDA"	"ACCORD"	100	147.800003051758	34.5	"G"	2466	0	0	0	0	1	0	11.5936737060547	3.54095935821533	7.81035280227661	4.60517024993896	4.99586009979248	21.2075939178467	61.0016098022461	24.9586181640625	35.9680061340332	39.0194282531738	23.0067863464355	1	0	0	0	8
"34"	1988	"HONDA"	"ACCORD"	98	148.199996948242	35	"G"	2513	0	0	0	0	1	0	11.9502077102661	3.55534815788269	7.82923269271851	4.58496761322021	4.99856281280518	21.0219287872314	61.2968864440918	24.9856300354004	35.8967781066895	39.1349105834961	22.918249130249	1	0	0	0	9
"35"	1989	"HONDA"	"ACCORD"	98	148.199996948242	34.5	"G"	2500	0	0	0	0	1	0	11.9022693634033	3.54095935821533	7.82404613494873	4.58496761322021	4.99856281280518	21.0219287872314	61.2156982421875	24.9856300354004	35.8729972839355	39.1089859008789	22.918249130249	1	0	0	0	10
"36"	1990	"HONDA"	"ACCORD"	125	183.600006103516	31	"G"	2733	0	0	0	0	1	0	10.5612888336182	3.43398714065552	7.91315507888794	4.82831382751465	5.21275949478149	23.312614440918	62.6180229187012	27.1728610992432	38.2071952819824	41.2493743896484	25.1688385009766	1	0	0	0	11
"37"	1991	"HONDA"	"ACCORD"	130	192.5	30.7000007629395	"G"	2733	0	0	0	0	1	0	10.2450971603394	3.4242627620697	7.91315507888794	4.86753463745117	5.26009607315063	23.6928939819336	62.6180229187012	27.6686115264893	38.5175552368164	41.6239547729492	25.6037006378174	1	0	0	0	12
"38"	1992	"HONDA"	"ACCORD"	125	185.699996948242	30.7000007629395	"G"	2736	0	0	0	0	1	0	10.5702724456787	3.4242627620697	7.91425228118896	4.82831382751465	5.2241325378418	23.312614440918	62.6353874206543	27.291561126709	38.2124938964844	41.3451042175293	25.2237510681152	1	0	0	0	13
